Date & Time,Product ID,Flow Type,Quantity
12-03-2025 00:00,35588,Outgoing,100
12-03-2025 00:00,35596,Outgoing,180
12-03-2025 00:00,35598,Outgoing,64
12-03-2025 00:00,31549,Outgoing,200
12-03-2025 00:00,31551,Outgoing,200
12-03-2025 00:00,31723,Outgoing,2000
12-03-2025 00:00,31994,Outgoing,300
12-03-2025 00:00,31985,Outgoing,160
12-03-2025 00:00,31985,Outgoing,240
12-03-2025 00:00,32002,Outgoing,270
12-03-2025 00:00,34013,Outgoing,500
12-03-2025 00:00,34018,Outgoing,300
12-03-2025 00:00,34015,Outgoing,1000
12-03-2025 00:00,34397,Outgoing,100
12-03-2025 00:00,34395,Outgoing,64
12-03-2025 00:00,35576,Outgoing,300
12-03-2025 00:00,35578,Outgoing,200
12-03-2025 00:00,35584,Outgoing,800
12-03-2025 00:00,35586,Outgoing,200
12-03-2025 00:00,38711,Outgoing,140
12-03-2025 00:00,31772,Outgoing,650
12-03-2025 00:00,31770,Outgoing,100
12-03-2025 00:00,31760,Outgoing,42
12-03-2025 00:00,31759,Outgoing,60
12-03-2025 00:00,31761,Outgoing,750
12-03-2025 00:00,34637,Outgoing,480
12-03-2025 00:00,31773,Outgoing,616
12-03-2025 00:00,31762,Outgoing,630
12-03-2025 00:00,32084,Outgoing,30
12-03-2025 00:00,32079,Outgoing,18
12-03-2025 00:00,32085,Outgoing,30
12-03-2025 00:00,32080,Outgoing,24
12-03-2025 00:00,32086,Outgoing,30
12-03-2025 00:00,32087,Outgoing,30
12-03-2025 00:00,32088,Outgoing,30
12-03-2025 00:00,32089,Outgoing,15
12-03-2025 00:00,36498,Outgoing,15
12-03-2025 00:00,32078,Outgoing,30
12-03-2025 00:00,32082,Outgoing,15
12-03-2025 00:00,31584,Outgoing,200
12-03-2025 00:00,31587,Outgoing,300
12-03-2025 00:00,34016,Outgoing,100
12-03-2025 00:00,34015,Outgoing,300
12-03-2025 00:00,34015,Outgoing,700
12-03-2025 00:00,34391,Outgoing,100
12-03-2025 00:00,34014,Outgoing,300
12-03-2025 00:00,34013,Outgoing,100
12-03-2025 00:00,34403,Outgoing,100
12-03-2025 00:00,34397,Outgoing,50
12-03-2025 00:00,34017,Outgoing,100
12-03-2025 00:00,34393,Outgoing,180
12-03-2025 00:00,34392,Outgoing,240
12-03-2025 00:00,32078,Outgoing,12
12-03-2025 00:00,32081,Outgoing,12
12-03-2025 00:00,32087,Outgoing,18
12-03-2025 00:00,32088,Outgoing,30
12-03-2025 00:00,32089,Outgoing,15
12-03-2025 00:00,31463,Outgoing,300
12-03-2025 00:00,31449,Outgoing,100
12-03-2025 00:00,31453,Outgoing,60
12-03-2025 00:00,31447,Outgoing,50
12-03-2025 00:00,31440,Outgoing,200
12-03-2025 00:00,31441,Outgoing,100
12-03-2025 00:00,32002,Outgoing,180
12-03-2025 00:00,32000,Outgoing,40
12-03-2025 00:00,31557,Outgoing,200
12-03-2025 00:00,31552,Outgoing,160
12-03-2025 00:00,31551,Outgoing,100
12-03-2025 00:00,35584,Outgoing,100
12-03-2025 00:00,35576,Outgoing,100
12-03-2025 00:00,35574,Outgoing,200
12-03-2025 00:00,31732,Outgoing,600
12-03-2025 00:00,31723,Outgoing,400
12-03-2025 00:00,31729,Outgoing,300
12-03-2025 00:00,31731,Outgoing,200
12-03-2025 00:00,31765,Outgoing,240
12-03-2025 00:00,31543,Outgoing,100
12-03-2025 00:00,34015,Outgoing,200
12-03-2025 00:00,34015,Outgoing,200
12-03-2025 00:00,34014,Outgoing,100
12-03-2025 00:00,35595,Outgoing,160
12-03-2025 00:00,35596,Outgoing,120
12-03-2025 00:00,34392,Outgoing,160
12-03-2025 00:00,35584,Outgoing,200
12-03-2025 00:00,35585,Outgoing,200
12-03-2025 00:00,35576,Outgoing,100
12-03-2025 00:00,35574,Outgoing,200
12-03-2025 00:00,35580,Outgoing,100
12-03-2025 00:00,31994,Outgoing,200
12-03-2025 00:00,32079,Outgoing,6
12-03-2025 00:00,32079,Outgoing,12
12-03-2025 00:00,32086,Outgoing,24
12-03-2025 00:00,32087,Outgoing,24
12-03-2025 00:00,32088,Outgoing,24
12-03-2025 00:00,32089,Outgoing,12
12-03-2025 00:00,38744,Ingoing,822
12-03-2025 00:00,35574,Ingoing,3900
12-03-2025 00:00,31732,Ingoing,4000
12-03-2025 00:00,32002,Ingoing,180
12-03-2025 00:00,35595,Ingoing,2800
12-03-2025 00:00,31438,Ingoing,200
12-03-2025 00:00,34016,Ingoing,3500
12-03-2025 00:00,34014,Ingoing,2800
12-03-2025 00:00,31557,Ingoing,9400
12-03-2025 00:00,31725,Ingoing,43200
12-03-2025 00:00,34393,Ingoing,2520
12-03-2025 00:00,31895,Ingoing,540
12-03-2025 00:00,35576,Ingoing,3600
12-03-2025 00:00,35587,Ingoing,1700
12-03-2025 00:00,34015,Ingoing,7000
12-03-2025 00:00,31761,Ingoing,10350
12-03-2025 00:00,31556,Ingoing,3100
12-03-2025 00:00,31569,Ingoing,3100
12-03-2025 00:00,31551,Ingoing,4500
12-03-2025 00:00,35596,Ingoing,3660
12-03-2025 00:00,34392,Ingoing,500
12-03-2025 00:00,35586,Ingoing,1700
12-03-2025 00:00,31757,Ingoing,6120
12-03-2025 00:00,31565,Ingoing,9000
12-03-2025 00:00,31994,Ingoing,4300
12-03-2025 00:00,31551,Ingoing,1000
12-03-2025 00:00,31595,Ingoing,2500
12-03-2025 00:00,31552,Ingoing,1200
12-03-2025 00:00,35580,Ingoing,3500
12-03-2025 00:00,31993,Ingoing,700
12-03-2025 00:00,31769,Ingoing,4844
12-03-2025 00:00,31662,Ingoing,2200
12-03-2025 00:00,31772,Outgoing,260
13-03-2025 00:00,31985,Ingoing,3120
13-03-2025 00:00,31725,Ingoing,14400
13-03-2025 00:00,35912,Ingoing,100
13-03-2025 00:00,35574,Ingoing,1200
13-03-2025 00:00,41596,Ingoing,66
13-03-2025 00:00,41596,Ingoing,66
13-03-2025 00:00,38720,Ingoing,1875
13-03-2025 00:00,31757,Ingoing,2280
13-03-2025 00:00,32086,Ingoing,1260
